UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
30,M88953,L,296.95815920888714,307.7092294454793,1592,35.50312936422673,7,0,No Failure
31,M19692,M,297.3239626427045,309.70909257956316,1308,40.03232093598798,122,0,No Failure
32,H82409,L,299.5664344632734,308.89499710134106,1584,37.21322508172306,19,0,No Failure
33,M47065,L,296.860989574451,307.9152394537469,1356,48.52227275197079,178,0,No Failure
34,M42606,H,299.8635777159612,310.1124737463371,1390,33.85838802459555,77,0,No Failure
35,H50397,H,298.1363701379106,309.25895876124844,1399,35.45369948383575,38,0,No Failure
36,H11016,H,298.60468444238774,309.3745087339075,1511,41.45272129739873,36,0,No Failure
37,M65591,H,298.701283453764,307.53404796202875,1395,36.86053331108355,177,0,No Failure
38,L33247,M,297.22566916989007,307.38892447738084,1234,25.540837005248967,161,0,No Failure
39,L84065,H,298.73483022920857,305.60006041897543,1578,49.67340614706909,74,0,No Failure
40,H19268,M,296.9914453235285,307.7609123660941,1586,34.628473068867564,117,0,No Failure
41,M73704,H,297.3968454938517,309.5530880806972,1445,42.80446361340903,103,0,No Failure
42,L48044,M,298.9880364490499,307.8438600544766,1436,33.733044143879226,160,0,No Failure
43,H71228,L,298.5900909334628,308.8183082697935,1303,35.684825464585046,30,0,No Failure
44,L58984,M,298.0375525737414,309.8167990349799,1206,31.88533498659381,122,0,No Failure
45,H12568,M,296.2619025261055,308.70924948769795,1482,36.2940329986846,53,0,No Failure
46,L77563,H,296.6362625659755,308.8557721426412,1200,36.77859091275725,171,0,No Failure
47,H15258,M,298.56506356585743,306.1132663069437,1418,39.337171613275515,33,1,Power Failure
48,H49504,L,299.2482108452277,307.666152823847,1663,38.13715578811775,241,0,No Failure
49,H71858,L,296.4855317432188,310.73993975974486,1429,32.79240086518086,198,0,No Failure
50,L22666,H,296.89026212882175,308.30569577164414,1654,37.380500858280364,121,0,No Failure
51,L13561,L,298.35127776126654,310.99510727299486,1371,47.235053333874035,112,0,No Failure
52,H74505,M,298.31918179394364,307.0653265540416,1286,46.64195272705906,245,0,No Failure
53,L62251,L,295.7140641868584,308.5009211782018,1240,42.27843514457345,61,0,No Failure
54,H18392,H,298.39234452015995,307.5759823436722,1322,43.31549623370086,22,0,No Failure
55,M62256,M,297.25244828465463,309.0379770276868,1530,50.30411400567673,45,1,Overstrain Failure
56,H45222,H,300.61156994459344,309.49251300209016,1497,42.85623829794249,55,0,No Failure
57,M89575,M,298.5237978141035,309.05369914355134,1572,43.22094930268776,134,0,No Failure
58,L94651,L,298.7822101748138,309.712778215622,1616,32.177084869432285,117,0,No Failure
59,M34538,H,298.8210389532859,308.13024051721646,1377,34.43684719380931,216,1,Tool Wear Failure
60,H80592,H,296.3291089290211,307.8642074485045,1262,39.836548414993985,188,0,No Failure
61,H18110,M,301.0658153396629,305.51271048908603,1683,35.962788874628764,130,0,No Failure
62,M37266,H,295.71563312882324,309.10767640274685,1364,35.01022356488414,165,1,Overstrain Failure
63,L92948,M,299.3435547125496,308.40827613836024,1688,35.587704758838754,211,0,No Failure
64,M16910,M,299.07799590622096,308.04812789365616,1386,32.882146789094364,161,0,No Failure
65,M10206,M,297.43449643013054,307.8637738918185,1582,36.04307756958974,112,0,No Failure
66,H97897,M,299.14967547507007,308.09468065798427,1408,41.697177774054495,43,0,No Failure
67,M33419,L,297.6736402017644,307.7956458027531,1426,48.981619632423424,127,0,No Failure
68,L60015,M,297.13680783271633,307.35794924215503,1631,43.98491091356809,107,0,No Failure
69,H64268,H,298.85433875402936,308.5093833210862,1588,43.18077742519718,157,0,No Failure
70,M90356,L,296.64015851336814,308.87623867839943,1247,31.88233307800797,16,0,No Failure
71,H81910,H,297.8136172618636,306.9941481284207,1423,40.59648352511009,58,0,No Failure
72,L77214,L,297.25873487690507,307.5488966462189,1202,39.665200483514305,137,0,No Failure
73,H43827,M,297.6460307356406,307.84306737310266,1571,41.45370548475589,98,0,No Failure
74,L72623,L,298.7990928986953,308.15721996106515,1374,38.196562652612705,83,0,No Failure
75,H85450,L,297.25845044148065,307.95772179562135,1645,48.31038370507334,145,0,No Failure
76,H32299,H,297.8615141303914,309.1395817994846,1298,40.26387758148911,44,0,No Failure
77,M74044,H,297.3952821221476,305.67144947644425,1315,40.75111677468436,107,0,No Failure
78,M59080,M,300.3159949983618,305.9374442024898,1469,30.187798875765747,218,0,No Failure
79,L12693,L,298.6639185973208,308.44035409888033,1646,39.46662159027839,186,0,No Failure
80,M52941,L,298.48010444945004,307.24597122825827,1567,45.74629675015317,61,0,No Failure
81,H28047,L,299.1751277569351,309.47636345866067,1452,42.777878040705176,58,0,No Failure
82,M85766,M,297.25879813483766,309.9047014288828,1516,29.22204530128446,176,0,No Failure
83,L54262,M,299.43888583749975,308.50062076463433,1614,37.75162463426888,227,0,No Failure
84,M33776,M,298.6692666187491,306.5420376255887,1294,48.659497336815015,190,0,No Failure
85,L76842,M,295.8086636458689,309.73189027434057,1472,39.24679639859238,214,0,No Failure
86,M16776,M,296.0079537503488,308.44835399322545,1579,41.61207991355564,159,0,No Failure
87,L65016,H,297.2915544208239,305.9195960412093,1223,48.095046436436505,137,1,Power Failure
88,H68053,L,296.16849025620223,306.0522205279022,1315,39.22692929226547,10,0,No Failure
89,H13748,L,297.7925823089506,310.42542018456294,1350,43.95514929978952,101,0,No Failure
90,L23545,L,296.62939301287616,310.1767038698918,1537,42.056979385791806,69,0,No Failure
91,H83530,L,298.0034154203936,304.37428528685564,1249,43.12574431755196,122,0,No Failure
92,M71087,L,300.26756406389717,306.11331365711317,1405,41.89607828416735,232,1,Overstrain Failure
93,L64384,L,298.0759346446657,309.86128324343247,1697,37.26185060742607,189,0,No Failure
94,M56576,L,297.69555331764707,308.1222611174104,1534,37.76101224288665,174,0,No Failure
95,M72003,L,298.732363971678,309.2027739282381,1278,35.727119098158376,33,0,No Failure
96,M75318,H,297.1053703106161,308.05707088085285,1269,31.801454405648556,227,0,No Failure
97,M99474,L,299.415121464094,309.1317387351068,1226,46.222649553383214,100,0,No Failure
98,L77172,H,298.89281942968614,308.15875031999815,1470,40.05041483440605,144,0,No Failure
99,L36736,M,298.20829834307284,307.4935876148645,1249,45.97080091262229,231,0,No Failure
100,M10854,L,298.38147374745034,309.7381157448722,1491,47.82686337292325,103,0,No Failure
101,L48623,M,301.21261886584426,308.45308192403843,1446,40.26708740454772,181,0,No Failure
102,L65680,M,299.5634683154018,309.12858307436534,1463,33.432554341546876,203,0,No Failure
103,H56717,M,301.449289946742,308.38617188744115,1278,39.01905927073767,212,0,No Failure
104,M97092,H,298.94804528993865,307.42046465967525,1586,36.644281966184394,39,0,No Failure
105,M36309,M,295.9424628359939,310.5625839670358,1389,30.099247704725062,18,0,No Failure
106,H80467,M,297.7567394457042,308.6824523821365,1246,37.49135547535561,66,0,No Failure
107,H22688,M,295.59969268817787,307.61742703344174,1660,39.642313939677436,81,0,No Failure
108,H47157,L,298.94245455200036,310.06749420547806,1560,36.78337802117672,180,0,No Failure
109,L62083,L,299.26810629601806,306.16876433918156,1553,36.142274565242566,242,1,Tool Wear Failure
110,M75733,H,296.82112600606104,311.50442547619394,1671,33.61232088933522,63,0,No Failure
111,M44698,H,297.1665454305297,307.8812753635048,1687,40.97961074177139,82,0,No Failure
112,H90623,L,298.3731263443528,306.2479786889249,1551,49.346346416081204,46,0,No Failure
113,L52107,H,296.35284390510367,311.00891202268633,1388,46.39311944025574,5,0,No Failure
114,H61663,L,296.24026034613615,307.4552485803908,1615,43.268134439934826,15,0,No Failure
115,L59811,M,300.00794807206165,308.5148668547834,1455,43.37704559465521,199,0,No Failure
116,H82082,M,298.32206592724594,309.2265361121592,1421,39.33678427870438,239,0,No Failure
117,M44754,H,297.31283596344105,309.92625879149017,1571,30.977434103564796,145,1,Heat Dissipation Failure
118,H21411,L,295.6118216671641,308.5996618455823,1440,38.1528415526965,179,0,No Failure
119,H93763,L,299.4285270353417,307.1790268875049,1468,35.15361156333925,175,0,No Failure
120,L94896,H,297.1232226816745,308.478488785001,1200,40.77348374672662,170,0,No Failure
121,H21111,L,300.94102666880576,307.5210266820024,1233,46.166073519693775,38,0,No Failure
122,L11802,M,299.43896514654017,308.52351751454677,1645,49.8670479512423,176,0,No Failure
123,L49384,H,296.9377872183891,310.59222431863526,1278,40.32310515590266,112,0,No Failure
124,M57254,H,297.0767924543028,309.2838877874657,1435,31.66421831411322,139,1,Power Failure
125,H95981,L,300.73277674441647,308.4599696571475,1533,40.31338025080989,236,1,Heat Dissipation Failure
126,M40306,H,298.02361082974824,309.2577362489095,1576,40.44928081456691,137,0,No Failure
127,H56843,L,297.3800331575149,309.36512097786374,1548,43.39421935263099,70,0,No Failure
128,M26371,L,298.19158253271485,306.5331888455469,1297,39.90402224799585,109,0,No Failure
129,L12049,L,297.3731310249193,308.2125840668235,1281,40.332591369803396,54,0,No Failure
130,L30932,L,298.5115727156622,311.99379148899874,1654,36.8396962105647,128,0,No Failure
131,L39855,L,298.0362645677226,309.9692314775478,1676,38.440490084455604,48,0,No Failure
132,H82694,H,299.46326197076723,307.39484666125816,1614,42.56616213407592,163,0,No Failure
133,L17400,M,297.5671388451413,307.24518815582354,1391,29.957581419282498,20,0,No Failure
134,H52642,M,296.8227754499655,307.1952114152366,1452,38.41355717168088,36,0,No Failure
135,H14499,H,297.6265229550646,309.44947992539306,1608,43.439499839979554,115,0,No Failure
136,M69040,H,297.6173741526639,310.5614613816743,1237,48.20364470502767,23,0,No Failure
137,H42711,M,298.033699277209,309.02325056672004,1213,38.008317779348815,54,0,No Failure
138,M63351,M,299.1018104320858,308.3857435248032,1591,45.926848904118934,24,0,No Failure
139,M58354,M,299.01986345120787,307.4837669635508,1546,48.450119227089715,134,0,No Failure
140,M48360,M,299.94948801378786,308.6440597183753,1509,38.07308799468661,126,0,No Failure
141,H12200,M,296.9327654833997,306.9198174198557,1585,37.2089573358409,233,0,No Failure
142,L78497,L,298.73308018457664,305.24635167918314,1408,39.08962764954037,208,0,No Failure
143,M87505,H,299.24097977053106,310.60523853516867,1556,39.59024107468452,92,0,No Failure
144,M71135,L,297.1386693905322,306.6412809944568,1661,45.4541133392776,93,0,No Failure
145,L48467,M,297.8385534205264,307.662751439496,1288,36.13137410245202,70,0,No Failure
146,L96831,M,295.5250331886718,309.13453617594394,1255,47.69032718052735,224,0,No Failure
147,H96416,M,299.51028654268856,310.30170030401905,1293,35.99621223636891,198,0,No Failure
148,L80091,L,297.82675269652015,308.5356959786279,1292,33.67787540191218,121,0,No Failure
149,H50818,L,299.3598462650215,306.35943351850875,1539,42.6188860577934,23,0,No Failure
150,M29830,M,298.45907427681925,307.69798032546265,1284,46.15280214434603,10,0,No Failure
151,M16893,L,297.8722521565377,307.13227189246237,1644,40.893277405064566,72,0,No Failure
152,M89909,L,295.76079580097127,308.092683458793,1444,42.17542198983137,11,0,No Failure
153,M13436,M,296.0275710839253,309.9979767069044,1221,49.77148619012656,34,0,No Failure
154,H86213,L,294.26028072348737,304.3439171058952,1490,46.223263907676504,190,0,No Failure
155,H40746,H,297.306079775757,307.53291525495877,1684,40.1546270889125,195,0,No Failure
156,M58404,H,301.56737305477185,307.4239255454194,1471,37.84426558409031,227,1,Heat Dissipation Failure
157,M49790,H,296.21807891572297,306.2648579826565,1505,45.47529433240693,219,0,No Failure
158,L50764,H,294.20285217487015,309.0282361156244,1321,44.146419567129435,184,0,No Failure
159,H66835,M,299.59400337937825,306.0275361921859,1327,42.09288341330041,140,0,No Failure
160,H83744,M,301.695576803945,306.20015858105546,1312,38.36493157003256,22,0,No Failure
161,M53484,M,298.5968815978897,309.4266038210309,1626,39.61805181866583,82,0,No Failure
162,M46212,H,298.5830985920799,310.400857053444,1472,39.26240217690972,233,0,No Failure
163,M57202,H,297.6851768895344,308.035854847082,1535,38.448156082093526,228,0,No Failure
164,L43828,L,295.4586141542349,306.32390582151606,1641,36.99425931702009,166,0,No Failure
165,L10301,L,295.97393212338477,307.0916688623326,1329,41.32599317974151,87,0,No Failure
166,L76235,H,297.6748700059022,309.66200292086756,1331,36.76842352115328,79,0,No Failure
167,L75726,H,297.38731698995537,308.32465736099505,1284,40.88689585457234,96,1,Overstrain Failure
168,L16102,H,297.9772406083451,307.99844183467707,1622,29.50063383890477,139,0,No Failure
169,L95314,H,299.3939872358922,308.6195745648697,1681,37.00062915699592,33,0,No Failure
170,M44584,L,297.27724325212444,308.0935100847118,1549,45.49164600347024,198,0,No Failure
171,M33093,H,299.42457513460687,310.4685684464888,1589,35.49785387267755,74,0,No Failure
172,M61885,L,297.28706543514585,307.02628510295955,1280,42.960509805215715,158,0,No Failure
173,M82991,H,299.70735938929863,306.85406132474714,1686,35.913581249834614,220,0,No Failure
174,H21093,H,298.2795513506101,306.074819722897,1672,43.878928283966104,127,0,No Failure
175,H45777,H,297.4962544886177,307.34001854641144,1524,38.514455264007296,189,0,No Failure
176,H92074,L,298.25394109082333,306.5120367880007,1268,38.31676697817357,140,1,Tool Wear Failure
177,M55017,L,297.7096917367636,308.47711326297906,1347,40.27175739273508,30,0,No Failure
178,L37751,M,298.31970135651994,308.1814210482877,1647,33.282865164391524,129,0,No Failure
179,L88069,H,299.28715929777616,306.531386749898,1215,44.8604540937823,102,0,No Failure
180,H64748,M,298.0191766023765,309.03370903854193,1506,46.51716720757869,14,1,Tool Wear Failure
181,M29190,M,297.5956467207193,310.4252193006948,1304,38.19984251502521,56,0,No Failure
182,M60993,L,296.46472569263375,308.6867575230065,1364,42.621020854507734,74,0,No Failure
183,L20647,L,299.01876702893753,304.3347527255668,1687,43.894553401060286,33,0,No Failure
184,L98891,M,298.6724083396041,311.1306964560051,1400,39.543712238341854,102,0,No Failure
185,M99912,H,296.3770857236087,309.27038520360657,1396,34.45876423641067,195,1,Heat Dissipation Failure
186,L12368,L,299.40324141688114,311.08462737978266,1625,47.970410659759224,74,0,No Failure
187,M80031,H,296.3527239510965,309.78608537922474,1384,38.037391475356,28,0,No Failure
188,M97922,H,299.69383268685084,310.0857731283058,1521,36.95432615393095,193,0,No Failure
189,H23403,M,299.18179499078053,308.4579003404016,1464,48.193959656669634,15,0,No Failure
190,M88657,M,298.77949828389706,307.7565559817152,1562,43.05029383778102,166,0,No Failure
191,H62921,M,297.5845072612494,308.7102217815982,1299,41.287150380290065,76,0,No Failure
192,H60300,M,299.01366967399963,307.0868223796302,1541,35.146196682987245,36,0,No Failure
193,M65609,L,299.76455799286174,308.80082127635035,1519,44.0140202910661,80,0,No Failure
194,M66661,L,299.0385278816622,304.20982061397393,1413,54.482593027598725,148,1,Random Failures
195,L80313,M,297.1446249674106,308.2143983678216,1477,44.4025383193927,171,0,No Failure
196,M63006,L,298.5511104735332,310.16701418015316,1361,42.48044248146282,123,0,No Failure
197,M25338,M,299.8480524794425,308.2914628683934,1638,43.60546398243048,18,0,No Failure
198,L90135,H,301.448647270835,310.74122410704643,1356,38.359423334157285,198,0,No Failure
199,L13051,H,297.84218053825117,307.75438191822707,1621,38.311746352034255,101,0,No Failure
200,L97142,H,299.4368246591971,309.6539763694817,1450,38.24777257881892,135,0,No Failure
201,M76412,M,299.85172078012647,306.83259488948994,1565,37.12525022306561,76,0,No Failure
202,M79678,H,296.93139250151535,309.59293492933307,1296,38.23777567111991,228,0,No Failure
203,H49734,L,300.8231174770922,308.4988923623417,1217,38.21446403875541,193,0,No Failure
204,L27019,H,296.5522229738748,307.8203742562359,1526,38.77657745582934,40,0,No Failure
205,M93613,H,299.36347827254946,304.28917682740337,1648,38.6366098420995,202,1,Overstrain Failure
206,H96672,H,298.60797966932057,307.76843483629165,1582,41.215059285048504,215,0,No Failure
207,H89634,L,298.2333633399972,308.4701795289197,1296,40.39396509103923,197,0,No Failure
208,M35945,M,301.97024992217297,309.3930641528299,1200,40.836812267558514,60,0,No Failure
209,L42217,L,297.6981171470098,310.4914246986486,1415,47.611487816722416,25,1,Random Failures
210,L15949,M,297.67398161090705,311.2025490520488,1331,40.38367119358256,70,0,No Failure
211,H11150,M,300.1472182110967,310.01940101468443,1459,51.05445496400391,248,0,No Failure
212,L84740,H,299.2927056671302,307.30686451204366,1324,41.76344769911306,102,0,No Failure
213,L76617,M,300.0731483814378,307.6927938657234,1281,37.763702045585816,210,0,No Failure
214,M26896,L,298.32530407351163,309.2583732065655,1482,46.74791619523499,69,0,No Failure
215,H56175,L,298.6254139255182,308.9294216897717,1370,39.60236366145901,106,0,No Failure
216,M15237,M,301.00140341949185,310.59251893908703,1258,28.031579241329357,156,0,No Failure
217,L55543,H,296.89606888062895,311.86908412806486,1231,39.97998429082408,106,1,Overstrain Failure
218,L13343,H,297.9956844338625,311.5507702926473,1360,38.75412081028021,102,0,No Failure
219,L63222,L,299.3473811071381,310.3909072996975,1483,48.032736931441676,193,0,No Failure
220,H26964,H,297.8562087698682,308.9418539734143,1305,35.51216657499817,18,0,No Failure
221,M69638,M,297.29478118107545,310.17398759441875,1304,38.33672590960864,67,0,No Failure
222,H95067,M,299.0777267691798,310.6421615205926,1638,46.33819688030229,185,0,No Failure
223,M77215,L,300.1537084997372,307.92904940411745,1427,41.972042663620904,69,0,No Failure
224,H23284,M,297.9387484557912,307.35100854123687,1387,39.14271587513433,112,0,No Failure
225,M94664,L,297.8971155687839,306.99886849989247,1269,36.21757166763483,56,0,No Failure
226,L71389,M,297.17846796147484,306.835422899832,1517,41.75872863437515,164,0,No Failure
227,L54078,L,297.7060347348914,306.0770070161102,1663,39.85349428390865,60,0,No Failure
228,L61293,H,299.77540911974523,308.5248525636766,1489,36.16085367396401,91,0,No Failure
229,M88781,M,298.27159430604047,306.65037079836776,1286,36.420767293360676,29,0,No Failure
230,L53919,M,296.9425140086045,306.9747167237969,1569,35.927639427774594,198,0,No Failure
231,M45247,L,298.5435435704855,309.2018833387651,1561,35.0372219311806,200,0,No Failure
232,L72752,L,299.726791016479,308.42241359938026,1671,44.67016879986168,152,0,No Failure
233,M69101,M,297.3071715046788,308.7944374109505,1255,43.99696679310219,224,0,No Failure
234,L36646,L,296.15709217060663,310.1977231428381,1312,44.678372281928965,126,0,No Failure
235,M33049,M,301.4362377398091,309.44679486281115,1212,40.02249774384262,192,0,No Failure
236,M78385,H,296.0822059749351,310.42832987217895,1639,38.78685606099922,114,0,No Failure
237,H75417,L,297.6114661542163,308.2699647421671,1217,38.878089450543314,5,0,No Failure
238,M19823,M,298.498192767788,310.56768588696855,1381,45.10550786453054,17,0,No Failure
239,L51975,H,297.74135844813355,308.68960514653617,1660,30.899260890020855,9,0,No Failure
240,L26364,H,298.03763373301746,308.4030593916428,1312,37.427569483212885,91,0,No Failure
241,H40977,M,299.0152572518119,310.34228930941475,1428,35.56327186247791,138,1,Heat Dissipation Failure
242,L59115,L,294.5624175134308,306.84176948121,1370,46.79943773294204,224,0,No Failure
243,H76387,M,296.2496582927142,311.1854008513137,1494,37.61271238276441,192,0,No Failure
244,M21938,H,298.21638907910545,307.72684996994406,1388,31.82005582280113,76,0,No Failure
245,L14000,M,297.54367448203953,306.322838042676,1625,41.11711821123395,100,0,No Failure
246,L48304,L,298.34411688741335,309.1302529280838,1664,38.14942902553043,83,0,No Failure
247,M92986,H,298.49147992394694,307.58401773482257,1278,37.21535596157519,192,0,No Failure
248,L96027,M,294.9761200067935,311.18871063786685,1345,36.69984021637086,51,0,No Failure
249,H13373,L,300.0604604982274,307.5006487718223,1606,36.50257610419597,194,0,No Failure
250,M37350,H,297.40259817534945,308.6216733760279,1381,43.542801574283224,209,1,Power Failure
251,L35351,L,296.85173022283595,306.0116100267828,1698,41.11893683278922,232,0,No Failure
252,L25305,H,298.46253294393887,309.36937136734616,1485,39.01017122184735,205,0,No Failure
253,M86797,M,298.31074034167335,306.9839148862116,1449,34.50880561576832,30,0,No Failure
254,M67458,L,299.94503622648193,309.18998703549886,1553,39.155533383060394,218,0,No Failure
255,L30358,H,298.557809744155,307.5074821404412,1513,41.30313928800013,144,0,No Failure
256,M99588,L,299.88716627203644,305.07959796991577,1395,41.493272241297454,182,0,No Failure
257,M36092,L,296.74273393685843,308.3467851355158,1522,40.804421914958844,109,0,No Failure
258,H10412,M,298.3627915828112,308.2796427756176,1270,35.38703666586236,92,0,No Failure
259,L70692,L,296.47787843901267,309.4716073604339,1447,27.984117037039905,163,0,No Failure
260,L54425,H,298.2965137833404,310.48400085775876,1345,48.99809380025967,228,0,No Failure
261,L28888,H,297.9785680665972,311.01861411487516,1305,33.45181562945734,153,0,No Failure
262,H93042,H,297.9140538621986,309.4462313202063,1462,30.17521020666531,52,0,No Failure
263,M80640,H,297.92720867145755,308.56792878809887,1495,40.65257806502048,144,1,Random Failures
264,H44911,M,299.2545842052769,306.0089996157268,1269,31.457407483846396,85,1,Heat Dissipation Failure
265,H17357,L,295.7389605144961,308.453031405485,1669,35.976006257125576,152,0,No Failure
266,L54811,M,296.8003182058237,308.47241025490837,1392,42.74425212904414,1,0,No Failure
267,L30150,L,298.08914225988224,307.85203961051593,1267,48.86343634237023,246,0,No Failure
268,L53286,L,296.3820053657931,309.09945147590116,1693,41.93755904136189,85,0,No Failure
269,L78450,L,298.21917115930154,309.8328585664732,1504,37.8042036456156,132,1,Tool Wear Failure
270,L65069,M,298.07372121813836,306.92239410420694,1251,39.74290222796579,3,0,No Failure
271,L24397,L,296.0443650324211,306.89902346870076,1569,30.957070214125487,163,0,No Failure
272,L60517,M,295.9702522806186,307.94106198233504,1562,37.74623945417425,5,0,No Failure
273,L76234,H,294.2143176466761,307.2271562139381,1484,37.75109198036528,243,0,No Failure
274,H57280,H,296.3189949254771,305.6881201964602,1604,40.7666433106859,148,0,No Failure
275,L82936,L,298.1714848873159,306.6551108955156,1673,49.710948063468855,204,0,No Failure
276,H46939,M,298.3842817344113,306.3015182794438,1533,30.316023556338806,117,0,No Failure
277,L45270,H,298.45284933944265,309.96267576202723,1208,37.96161194212757,228,0,No Failure
278,M61934,M,296.9831217809989,310.7042405090139,1450,30.83245228004077,246,0,No Failure
279,H70921,M,298.1225447739677,306.5068498140581,1630,37.48317953374746,88,0,No Failure
280,H18335,L,298.74586691386213,308.96911026970565,1531,35.676989294410035,153,0,No Failure
281,L99112,H,296.24794667574827,309.4602746367046,1497,32.528268462493,182,0,No Failure
282,H97508,L,298.3349936115858,305.9115968200102,1634,44.565460152648896,166,0,No Failure
283,L70566,L,299.1347218177526,308.3914684207685,1383,41.27823851925215,211,1,Tool Wear Failure
284,L11062,H,297.41384180526563,311.95027424801975,1378,43.979278148270225,160,1,Heat Dissipation Failure
285,L99780,H,299.7433514955244,309.1657202995364,1397,37.341730876662524,13,1,Random Failures
286,M31689,M,297.4488484842625,307.78204918800117,1327,39.64641762109959,55,0,No Failure
287,H98461,H,296.85990871731536,307.30972021217264,1219,47.97320320608157,227,0,No Failure
288,H19348,M,298.98526176782934,305.1163076229186,1671,39.986399024454435,80,0,No Failure
289,H48102,M,301.1999406541997,308.85571048417506,1610,44.039782745797204,148,0,No Failure
290,L99930,M,298.2780304283317,311.07172518088146,1621,36.91271848641635,45,1,Tool Wear Failure
291,M82267,H,299.10236170617054,306.9296843684031,1527,43.5800867168213,143,0,No Failure
292,L33625,L,297.38692416835323,305.2466229807244,1264,37.25540320097349,237,0,No Failure
293,M82592,M,296.28757567030596,307.1536637279701,1381,30.517888119701638,15,1,Overstrain Failure
294,L54261,L,298.3993984688511,309.4723996189673,1440,39.96208556039479,119,0,No Failure
295,H31677,L,298.6365999576818,307.50724999276684,1568,37.64848428698019,83,0,No Failure
296,L60343,H,297.6131333644282,306.91929786063037,1223,31.87609320301369,156,0,No Failure
297,M72856,L,299.09658477703226,308.17873237258675,1583,40.95746425836587,219,0,No Failure
298,M98858,L,297.1688799852785,308.49455112075174,1630,35.532367575233394,7,0,No Failure
299,M93460,H,296.79687060122234,306.0674147888424,1654,55.46320639231341,87,0,No Failure
300,L64693,M,299.74096439572924,307.8240744545947,1282,32.67778883293166,130,0,No Failure
301,H38295,L,299.7480214398124,307.40409857911646,1669,33.9353752877493,216,0,No Failure
302,L36432,H,297.19848534124645,307.1886434761279,1518,44.34775553323895,18,0,No Failure
303,M67854,L,300.7282757356072,306.6244449959128,1384,39.33489059679955,96,0,No Failure
304,H47080,L,297.7193399612046,309.5618867821922,1638,44.24601154631109,65,0,No Failure
305,L45909,M,298.27717429696594,307.18341960680294,1515,41.901955269489505,78,0,No Failure
306,H44578,L,298.02302118722736,305.15758207128005,1298,37.08846436034409,85,1,Power Failure
307,L36790,H,298.9356403261685,308.54644673296315,1261,33.10453803460184,123,0,No Failure
308,H35289,L,298.5571322407014,309.2377992090098,1485,45.35541540364016,201,0,No Failure
309,M25485,M,298.53694324237244,306.95597590217614,1676,33.557749072053504,209,0,No Failure
310,H96188,M,296.62065755242014,307.310505965324,1221,42.79452980582081,149,0,No Failure
311,L96769,H,295.61715652481547,307.17641941935744,1658,44.59499378628424,45,0,No Failure
312,M40355,M,299.8632400423793,307.6300199578548,1411,39.365410979850196,112,0,No Failure
